Total itemsets found: 295
Elapsed time: 1668ms
[48687] - 120.79000000000008
[12863] - 121.42999999999995
[35205] - 122.23999999999998
[18635] - 123.19
[18847] - 124.63999999999997
[18599] - 125.51000000000005
[12635] - 126.00999999999999
[12323] - 126.5
[47277] - 126.71999999999997
[18883] - 127.43
[54653] - 128.56999999999996
[33461] - 129.55000000000007
[18815] - 130.88
[18795] - 133.76
[12799] - 135.10999999999996
[18695] - 135.39
[18459] - 136.14
[18523] - 137.20999999999998
[52973] - 137.49999999999991
[33445] - 138.57000000000005
[12535] - 138.83999999999997
[48683] - 140.23000000000005
[48711] - 141.80999999999997
[48655] - 143.37999999999997
[12351] - 145.1
[46289] - 145.3699999999999
[47961] - 146.30000000000004
[47687] - 146.8900000000001
[18563] - 147.49999999999991
[48671] - 147.52999999999997
[12651] - 150.56
[33457] - 151.50000000000003
[46281] - 151.60999999999993
[12475] - 152.83000000000004
[12335] - 153.67999999999998
[18643] - 153.88000000000002
[18507] - 154.19
[10829] - 154.26999999999995
[12331] - 154.67999999999992
[12427] - 157.75000000000003
[12851] - 159.08
[18683] - 159.50000000000009
[35157] - 159.55000000000013
[12891] - 160.25000000000003
[12595] - 162.23999999999992
[18487] - 163.71999999999994
[18727] - 168.07000000000005
[18587] - 168.35999999999999
[18603] - 169.5000000000001
[12583] - 170.8299999999999
[12587] - 170.92000000000002
[12471] - 172.30999999999997
[18675] - 173.0199999999999
[10327] - 173.11
[18447] - 174.0200000000001
[35165] - 175.42999999999998
[32221] - 175.88000000000005
[54673] - 176.64
[35153] - 177.98999999999995
[12615] - 178.4899999999999
[12371] - 178.9000000000001
[12563] - 181.8900000000001
[12579] - 182.18999999999994
[48575] - 184.02999999999994
[54661] - 184.67999999999992
[34917] - 186.75999999999996
[34909] - 189.95999999999984
[35177] - 190.0699999999999
[33441] - 191.21000000000004
[12839] - 192.2600000000001
[18499] - 193.92999999999992
[12643] - 194.94000000000005
[12343] - 201.6299999999999
[12591] - 202.49000000000015
[35149] - 203.25
[12803] - 203.53999999999988
[35169] - 204.13
[12347] - 206.57
[48667, 48663] - 120.8998
[34925] - 210.43
[32197] - 211.3400000000001
[35181] - 215.92000000000013
[12631] - 217.5499999999999
[34913] - 217.99000000000007
[12395] - 219.4900000000001
[12439] - 219.86999999999998
[10865] - 220.4900000000003
[12327] - 221.58
[12671] - 224.34999999999997
[33465] - 224.37000000000018
[18527] - 225.96000000000004
[12887] - 232.47999999999988
[10833] - 232.68000000000012
[12451] - 234.3099999999999
[10849] - 235.19999999999982
[34929] - 235.6000000000001
[18723] - 236.74999999999994
[12399] - 242.12999999999974
[47965] - 248.33
[12419] - 248.93999999999997
[10841] - 249.61000000000016
[18855] - 250.05999999999995
[48707] - 250.12999999999997
[47973] - 250.94
[34921] - 252.19999999999976
[12459] - 253.9900000000001
[12731] - 256.80999999999983
[18423] - 257.1400000000001
[12903] - 262.00999999999993
[18879] - 269.80000000000007
[35213] - 272.05999999999995
[12607] - 273.50000000000006
[12871] - 281.65999999999997
[12719] - 283.90000000000015
[12367] - 286.9799999999998
[33437] - 287.91000000000037
[12447] - 290.99000000000035
[10881] - 291.5199999999997
[12843] - 296.17000000000024
[18871] - 298.2500000000001
[12879] - 300.54999999999995
[12739] - 303.32000000000016
[12403] - 303.78999999999985
[33425] - 304.5700000000001
[12515] - 306.1
[18547] - 306.59999999999997
[12767] - 307.49000000000007
[12531] - 308.07999999999987
[18831] - 308.42000000000024
[18707] - 308.42999999999984
[12647] - 308.50000000000006
[12855] - 329.4399999999997
[12775] - 330.1099999999995
[12735] - 331.38999999999965
[12491] - 334.7700000000001
[18427] - 334.94999999999993
[12523] - 335.11999999999995
[12787] - 336.37
[10857] - 338.48999999999995
[10315, 10339] - 133.50160000000002
[12907] - 341.1800000000003
[12527] - 343.81999999999994
[18619] - 344.79999999999995
[18691] - 348.45999999999975
[10303] - 348.6899999999998
[12743] - 349.76000000000005
[12547] - 350.0499999999999
[10861] - 350.2800000000002
[10291] - 352.3600000000002
[20807] - 352.97999999999996
[12847] - 354.75999999999965
[12555] - 357.2700000000004
[12467] - 359.3000000000001
[12867] - 361.27000000000027
[12727, 12723] - 119.52489999999996
[12571, 12575] - 142.18149999999991
[48667, 48675] - 122.34130000000013
[12883] - 377.35000000000025
[12747] - 384.34000000000015
[32209] - 384.88000000000034
[47949] - 384.99999999999994
[12711] - 387.53999999999957
[12551] - 397.5099999999999
[12835] - 399.72999999999985
[12495] - 405.2200000000004
[47953, 47957] - 144.20399999999998
[12675] - 418.6200000000002
[12299] - 422.9600000000003
[12663, 12667] - 149.71300000000002
[12621, 12611] - 127.66440000000006
[12807] - 440.78999999999996
[33429, 33449] - 148.88440000000003
[12823] - 450.4299999999997
